DateTime,Started_Number,Queued_Number,ExecutingNodeName
2023-03-15 21:32:00,10,0,sypqliksense06
2023-03-15 21:32:00,10,7,sypqliksense08
2023-03-15 21:47:00,10,2,sypqliksense07
2023-03-15 21:47:00,6,0,sypqliksense05
2023-03-15 21:47:00,10,1,sypqliksense17
2023-03-15 21:47:00,4,0,sypqliksense06
2023-03-15 21:47:00,10,1,sypqliksense08
2023-03-15 22:02:00,10,10,sypqliksense07
2023-03-15 22:02:00,10,9,sypqliksense17
2023-03-15 22:02:00,10,4,sypqliksense05
2023-03-15 22:02:00,10,2,sypqliksense06
2023-03-15 22:02:00,10,8,sypqliksense08
2023-03-15 22:17:00,10,0,sypqliksense07
2023-03-15 22:17:00,10,0,sypqliksense17
2023-03-15 22:17:00,5,0,sypqliksense05
2023-03-15 22:17:00,4,0,sypqliksense06
2023-03-15 22:17:00,10,1,sypqliksense08
2023-03-15 22:32:00,10,3,sypqliksense07
2023-03-15 22:32:00,10,2,sypqliksense17
2023-03-15 22:32:00,2,0,sypqliksense05
2023-03-15 22:32:00,3,0,sypqliksense06
2023-03-15 22:32:00,9,1,sypqliksense08
2023-03-15 22:47:00,9,0,sypqliksense07
2023-03-15 22:47:00,9,0,sypqliksense17
2023-03-15 22:47:00,2,0,sypqliksense06
2023-03-15 22:47:00,7,1,sypqliksense08
2023-03-15 23:02:00,10,10,sypqliksense07
2023-03-15 23:02:00,10,9,sypqliksense17
2023-03-15 23:02:00,7,0,sypqliksense05
2023-03-15 23:02:00,8,0,sypqliksense06
2023-03-15 23:02:00,10,5,sypqliksense08
2023-03-15 23:17:00,9,0,sypqliksense07
2023-03-15 23:17:00,10,0,sypqliksense17
2023-03-15 23:17:00,2,0,sypqliksense05
2023-03-15 23:17:00,3,0,sypqliksense06
2023-03-15 23:17:00,9,1,sypqliksense08
2023-03-15 23:32:00,10,4,sypqliksense07
2023-03-15 23:32:00,10,2,sypqliksense17
2023-03-15 23:32:00,4,0,sypqliksense05
2023-03-15 23:32:00,3,0,sypqliksense06
2023-03-15 23:32:00,10,2,sypqliksense08
2023-03-15 23:47:00,10,1,sypqliksense07
2023-03-15 23:47:00,10,1,sypqliksense17
2023-03-15 23:47:00,3,0,sypqliksense05
2023-03-15 23:47:00,9,1,sypqliksense08
2023-03-16 00:02:00,10,17,sypqliksense07
2023-03-16 00:02:00,10,15,sypqliksense17
2023-03-16 00:02:00,10,8,sypqliksense05
2023-03-16 00:02:00,10,6,sypqliksense06
2023-03-16 00:02:00,10,15,sypqliksense08
2023-03-16 00:02:00,10,17,sypqliksense07
2023-03-16 00:02:00,10,15,sypqliksense17
2023-03-16 00:02:00,10,8,sypqliksense05
2023-03-16 00:02:00,10,6,sypqliksense06
2023-03-16 00:02:00,10,15,sypqliksense08
2023-03-16 00:17:00,10,8,sypqliksense07
2023-03-16 00:17:00,10,2,sypqliksense17
2023-03-16 00:17:00,8,0,sypqliksense05
2023-03-16 00:17:00,4,0,sypqliksense06
2023-03-16 00:17:00,10,7,sypqliksense08
2023-03-16 00:32:00,10,3,sypqliksense07
2023-03-16 00:32:00,10,2,sypqliksense17
2023-03-16 00:32:00,5,0,sypqliksense05
2023-03-16 00:32:00,2,0,sypqliksense06
2023-03-16 00:32:00,8,1,sypqliksense08
2023-03-16 00:47:00,8,0,sypqliksense07
2023-03-16 00:47:00,9,0,sypqliksense17
2023-03-16 00:47:00,3,0,sypqliksense05
2023-03-16 00:47:00,2,0,sypqliksense06
2023-03-16 00:47:00,5,1,sypqliksense08
2023-03-16 01:02:00,10,19,sypqliksense07
2023-03-16 01:02:00,10,21,sypqliksense17
2023-03-16 01:02:00,10,12,sypqliksense05
2023-03-16 01:02:00,10,9,sypqliksense06
2023-03-16 01:02:00,10,17,sypqliksense08
2023-03-16 01:17:00,10,15,sypqliksense07
2023-03-16 01:17:00,10,18,sypqliksense17
2023-03-16 01:17:00,10,6,sypqliksense05
2023-03-16 01:17:00,10,7,sypqliksense06
2023-03-16 01:17:00,10,12,sypqliksense08
2023-03-16 01:32:00,10,6,sypqliksense07
2023-03-16 01:32:00,10,6,sypqliksense17
2023-03-16 01:32:00,8,0,sypqliksense05
2023-03-16 01:32:00,7,0,sypqliksense06
2023-03-16 01:32:00,10,1,sypqliksense08
2023-03-16 01:47:00,7,0,sypqliksense07
2023-03-16 01:47:00,10,3,sypqliksense17
2023-03-16 01:47:00,5,0,sypqliksense05
2023-03-16 01:47:00,7,0,sypqliksense06
2023-03-16 01:47:00,7,1,sypqliksense08
2023-03-16 02:02:00,10,12,sypqliksense07
2023-03-16 02:02:00,10,12,sypqliksense17
2023-03-16 02:02:00,10,2,sypqliksense05
2023-03-16 02:02:00,10,0,sypqliksense06
2023-03-16 02:02:00,10,7,sypqliksense08
2023-03-16 02:17:00,10,5,sypqliksense07
2023-03-16 02:17:00,10,5,sypqliksense17
2023-03-16 02:17:00,7,0,sypqliksense05
2023-03-16 02:17:00,7,0,sypqliksense06
2023-03-16 02:17:00,9,1,sypqliksense08
2023-03-16 02:32:00,10,9,sypqliksense07
2023-03-16 02:32:00,10,7,sypqliksense17
2023-03-16 02:32:00,10,0,sypqliksense05
2023-03-16 02:32:00,7,0,sypqliksense06
2023-03-16 02:32:00,10,3,sypqliksense08
2023-03-16 02:47:00,10,2,sypqliksense07
2023-03-16 02:47:00,9,0,sypqliksense17
2023-03-16 02:47:00,4,0,sypqliksense05
2023-03-16 02:47:00,4,0,sypqliksense06
2023-03-16 02:47:00,6,1,sypqliksense08
2023-03-16 03:02:00,10,7,sypqliksense07
2023-03-16 03:02:00,10,2,sypqliksense17
2023-03-16 03:02:00,8,0,sypqliksense05
2023-03-16 03:02:00,6,0,sypqliksense06
2023-03-16 03:02:00,10,4,sypqliksense08
2023-03-16 03:17:00,9,0,sypqliksense07
2023-03-16 03:17:00,6,0,sypqliksense17
2023-03-16 03:17:00,4,0,sypqliksense05
2023-03-16 03:17:00,4,0,sypqliksense06
2023-03-16 03:17:00,5,1,sypqliksense08
2023-03-16 03:32:00,10,1,sypqliksense07
2023-03-16 03:32:00,8,0,sypqliksense17
2023-03-16 03:32:00,3,0,sypqliksense05
2023-03-16 03:32:00,3,0,sypqliksense06
2023-03-16 03:32:00,6,1,sypqliksense08
2023-03-16 03:47:00,10,0,sypqliksense07
2023-03-16 03:47:00,7,0,sypqliksense17
2023-03-16 03:47:00,3,0,sypqliksense05
2023-03-16 03:47:00,2,0,sypqliksense06
2023-03-16 03:47:00,6,1,sypqliksense08
2023-03-16 04:02:00,10,11,sypqliksense07
2023-03-16 04:02:00,10,8,sypqliksense17
2023-03-16 04:02:00,10,2,sypqliksense05
2023-03-16 04:02:00,9,0,sypqliksense06
2023-03-16 04:02:00,10,5,sypqliksense08
2023-03-16 04:17:00,10,2,sypqliksense07
2023-03-16 04:17:00,10,1,sypqliksense17
2023-03-16 04:17:00,7,0,sypqliksense05
2023-03-16 04:17:00,4,0,sypqliksense06
2023-03-16 04:17:00,8,1,sypqliksense08
2023-03-16 04:32:00,10,4,sypqliksense07
2023-03-16 04:32:00,10,1,sypqliksense17
2023-03-16 04:32:00,6,0,sypqliksense05
2023-03-16 04:32:00,4,0,sypqliksense06
2023-03-16 04:32:00,9,1,sypqliksense08
2023-03-16 04:47:00,10,0,sypqliksense07
2023-03-16 04:47:00,9,0,sypqliksense17
2023-03-16 04:47:00,5,0,sypqliksense05
2023-03-16 04:47:00,3,0,sypqliksense06
2023-03-16 04:47:00,6,1,sypqliksense08
2023-03-16 05:02:00,10,8,sypqliksense07
2023-03-16 05:02:00,10,10,sypqliksense17
2023-03-16 05:02:00,10,3,sypqliksense05
2023-03-16 05:02:00,10,3,sypqliksense06
2023-03-16 05:02:00,10,5,sypqliksense08
2023-03-16 05:17:00,10,1,sypqliksense07
2023-03-16 05:17:00,10,3,sypqliksense17
2023-03-16 05:17:00,4,0,sypqliksense05
2023-03-16 05:17:00,5,0,sypqliksense06
2023-03-16 05:17:00,9,1,sypqliksense08
2023-03-16 05:32:00,10,2,sypqliksense07
2023-03-16 05:32:00,10,3,sypqliksense17
2023-03-16 05:32:00,5,0,sypqliksense05
2023-03-16 05:32:00,4,0,sypqliksense06
2023-03-16 05:32:00,8,1,sypqliksense08
2023-03-16 05:47:00,9,0,sypqliksense07
2023-03-16 05:47:00,9,0,sypqliksense17
2023-03-16 05:47:00,3,0,sypqliksense05
2023-03-16 05:47:00,2,0,sypqliksense06
2023-03-16 05:47:00,5,1,sypqliksense08
2023-03-16 06:02:00,10,12,sypqliksense07
2023-03-16 06:02:00,10,13,sypqliksense17
2023-03-16 06:02:00,10,3,sypqliksense05
2023-03-16 06:02:00,10,2,sypqliksense06
2023-03-16 06:02:00,10,10,sypqliksense08
2023-03-16 06:17:00,10,1,sypqliksense07
2023-03-16 06:17:00,10,5,sypqliksense17
2023-03-16 06:17:00,5,0,sypqliksense05
2023-03-16 06:17:00,4,0,sypqliksense06
2023-03-16 06:17:00,8,1,sypqliksense08
2023-03-16 06:32:00,10,1,sypqliksense07
2023-03-16 06:32:00,10,4,sypqliksense17
2023-03-16 06:32:00,5,0,sypqliksense05
2023-03-16 06:32:00,6,0,sypqliksense06
2023-03-16 06:32:00,9,1,sypqliksense08
2023-03-16 06:47:00,9,0,sypqliksense07
2023-03-16 06:47:00,10,1,sypqliksense17
2023-03-16 06:47:00,3,0,sypqliksense05
2023-03-16 06:47:00,4,0,sypqliksense06
2023-03-16 06:47:00,7,1,sypqliksense08
2023-03-16 07:02:00,10,12,sypqliksense07
2023-03-16 07:02:00,10,3,sypqliksense05
2023-03-16 07:02:00,10,7,sypqliksense17
2023-03-16 07:02:00,10,6,sypqliksense06
2023-03-16 07:02:00,10,6,sypqliksense08
2023-03-16 07:17:00,10,2,sypqliksense07
2023-03-16 07:17:00,5,0,sypqliksense05
2023-03-16 07:17:00,9,0,sypqliksense17
2023-03-16 07:17:00,7,0,sypqliksense06
2023-03-16 07:17:00,9,1,sypqliksense08
2023-03-16 07:32:00,10,7,sypqliksense07
2023-03-16 07:32:00,9,0,sypqliksense05
2023-03-16 07:32:00,10,6,sypqliksense17
2023-03-16 07:32:00,10,2,sypqliksense06
2023-03-16 07:32:00,10,5,sypqliksense08
2023-03-16 07:47:00,10,5,sypqliksense07
2023-03-16 07:47:00,7,0,sypqliksense05
2023-03-16 07:47:00,10,3,sypqliksense17
2023-03-16 07:47:00,8,0,sypqliksense06
2023-03-16 07:47:00,10,3,sypqliksense08
2023-03-16 08:02:00,10,24,sypqliksense07
2023-03-16 08:02:00,10,18,sypqliksense05
2023-03-16 08:02:00,10,25,sypqliksense17
2023-03-16 08:02:00,10,19,sypqliksense06
2023-03-16 08:02:00,10,23,sypqliksense08
2023-03-16 08:17:00,10,23,sypqliksense07
2023-03-16 08:17:00,10,18,sypqliksense05
2023-03-16 08:17:00,10,22,sypqliksense17
2023-03-16 08:17:00,10,19,sypqliksense06
2023-03-16 08:17:00,10,24,sypqliksense08
2023-03-16 08:32:00,10,25,sypqliksense07
2023-03-16 08:32:00,10,17,sypqliksense05
2023-03-16 08:32:00,10,22,sypqliksense17
2023-03-16 08:32:00,10,19,sypqliksense06
2023-03-16 08:32:00,10,24,sypqliksense08
2023-03-16 08:47:00,10,16,sypqliksense07
2023-03-16 08:47:00,10,11,sypqliksense05
2023-03-16 08:47:00,10,18,sypqliksense17
2023-03-16 08:47:00,10,11,sypqliksense06
2023-03-16 08:47:00,10,20,sypqliksense08
